,experiment_id,start_times,end_times,parameter_values
344,experiment_1067,214.097717524,214.197717524,12
345,experiment_1067,215.386892557,215.486892557,7
346,experiment_1067,216.678125858,216.778125858,16
347,experiment_1067,217.974980831,218.074980831,10
348,experiment_1067,219.264964819,219.364964819,6
349,experiment_1067,220.557979822,220.657979822,14
350,experiment_1067,221.851814032,221.951814032,19
351,experiment_1067,223.143630981,223.243630981,5
352,experiment_1067,224.435509443,224.535509443,3
353,experiment_1067,225.732774019,225.832774019,11
354,experiment_1067,227.026884794,227.126884794,4
355,experiment_1067,228.320626974,228.420626974,13
356,experiment_1067,229.614123106,229.714123106,15
357,experiment_1067,230.906892538,231.006892538,18
358,experiment_1067,232.200603724,232.300603724,8
359,experiment_1067,233.494192362,233.594192362,17
360,experiment_1065,1.75707364082,1.85707364082,7
361,experiment_1065,3.05133795738,3.15133795738,5
362,experiment_1065,4.34575581551,4.44575581551,4
363,experiment_1065,5.63756251335,5.73756251335,20
364,experiment_1065,6.93086433411,7.03086433411,10
365,experiment_1065,8.23120093346,8.33120093346,18
366,experiment_1065,9.5219938755,9.6219938755,13
367,experiment_1065,10.8143126965,10.9143126965,9
368,experiment_1065,12.1102461815,12.2102461815,17
369,experiment_1065,13.4012846947,13.5012846947,15
370,experiment_1065,14.7011196613,14.8011196613,3
371,experiment_1065,15.9931414127,16.0931414127,6
372,experiment_1065,17.3003184795,17.4003184795,14
373,experiment_1065,18.5963850021,18.6963850021,11
374,experiment_1065,19.8895637989,19.9895637989,16
375,experiment_1065,21.1820976734,21.2820976734,19
376,experiment_1065,22.4742832184,22.5742832184,12
377,experiment_1065,23.7619018555,23.8619018555,8
378,experiment_1065,25.0493769646,25.1493769646,14
379,experiment_1065,26.3452284336,26.4452284336,5
380,experiment_1065,27.635529995,27.735529995,17
381,experiment_1065,28.9290261269,29.0290261269,13
382,experiment_1065,30.2216930389,30.3216930389,8
383,experiment_1065,31.5103049278,31.6103049278,9
384,experiment_1065,32.8123824596,32.9123824596,16
385,experiment_1065,34.1198461056,34.2198461056,15
386,experiment_1065,35.4146325588,35.5146325588,20
387,experiment_1065,36.7083952427,36.8083952427,19
388,experiment_1065,38.0015432835,38.1015432835,7
389,experiment_1065,39.2952342033,39.3952342033,6
390,experiment_1065,40.5864367485,40.6864367485,12
391,experiment_1065,41.8781206608,41.9781206608,3
392,experiment_1065,43.1876118183,43.2876118183,18
393,experiment_1065,44.4918396473,44.5918396473,10
394,experiment_1065,45.7891144753,45.8891144753,11
395,experiment_1065,47.0860617161,47.1860617161,4
396,experiment_1065,48.3820772171,48.4820772171,4
397,experiment_1065,49.6765768528,49.7765768528,10
398,experiment_1065,50.9712610245,51.0712610245,9
399,experiment_1065,52.263733387,52.363733387,13
400,experiment_1065,53.5586326122,53.6586326122,19
401,experiment_1065,54.8664956093,54.9664956093,6
402,experiment_1065,56.1604015827,56.2604015827,17
403,experiment_1065,57.4486448765,57.5486448765,5
404,experiment_1065,58.741035223,58.841035223,3
405,experiment_1065,60.0324323177,60.1324323177,18
406,experiment_1065,61.3297481537,61.4297481537,7
407,experiment_1065,62.6265928745,62.7265928745,20
408,experiment_1065,63.9346301556,64.0346301556,11
409,experiment_1065,65.2397589684,65.3397589684,12
410,experiment_1065,66.5372488499,66.6372488499,14
411,experiment_1065,67.8311958313,67.9311958313,16
412,experiment_1065,69.1252143383,69.2252143383,15
413,experiment_1065,70.4188437462,70.5188437462,8
414,experiment_1065,71.722723484,71.822723484,9
415,experiment_1065,73.0364131927,73.1364131927,19
416,experiment_1065,74.3256087303,74.4256087303,18
417,experiment_1065,75.6366562843,75.7366562843,13
418,experiment_1065,76.9375255108,77.0375255108,10
419,experiment_1065,78.2503650188,78.3503650188,4
420,experiment_1065,79.5576241016,79.6576241016,3
421,experiment_1065,80.8724706173,80.9724706173,7
422,experiment_1065,82.1800777912,82.2800777912,6
423,experiment_1065,83.4718434811,83.5718434811,15
424,experiment_1065,84.7646946907,84.8646946907,20
425,experiment_1065,86.0591022968,86.1591022968,17
426,experiment_1065,87.3507657051,87.4507657051,16
427,experiment_1065,88.6436476707,88.7436476707,12
428,experiment_1065,89.9342460632,90.0342460632,8
429,experiment_1065,91.2249367237,91.3249367237,11
430,experiment_1065,92.5151867867,92.6151867867,14
431,experiment_1065,93.8104138374,93.9104138374,5
432,experiment_1065,95.1020770073,95.2020770073,3
433,experiment_1065,96.3929724693,96.4929724693,7
434,experiment_1065,97.6863050461,97.7863050461,13
435,experiment_1065,98.9847779274,99.0847779274,9
436,experiment_1065,100.281653404,100.381653404,19
437,experiment_1065,101.576286316,101.676286316,17
438,experiment_1065,102.870560884,102.970560884,20
439,experiment_1065,104.164251804,104.264251804,15
440,experiment_1065,105.457809687,105.557809687,16
441,experiment_1065,106.750957727,106.850957727,4
442,experiment_1065,108.056312084,108.156312084,18
443,experiment_1065,109.363376379,109.463376379,5
444,experiment_1065,110.670072079,110.770072079,10
445,experiment_1065,111.964633226,112.064633226,11
446,experiment_1065,113.262276888,113.362276888,6
447,experiment_1065,114.558271646,114.658271646,8
448,experiment_1065,115.855587482,115.955587482,12
449,experiment_1065,117.147066593,117.247066593,14
450,experiment_1065,118.438893795,118.538893795,14
451,experiment_1065,119.731621981,119.831621981,9
452,experiment_1065,121.026930809,121.126930809,19
453,experiment_1065,122.322577477,122.422577477,15
454,experiment_1065,123.614753008,123.714753008,11
455,experiment_1065,124.905484438,125.005484438,3
456,experiment_1065,126.197506189,126.297506189,8
457,experiment_1065,127.492415667,127.592415667,16
458,experiment_1065,128.803360939,128.903360939,12
459,experiment_1065,130.108592272,130.208592272,17
460,experiment_1065,131.403931856,131.503931856,4
461,experiment_1065,132.696045637,132.796045637,5
462,experiment_1065,133.991436481,134.091436481,18
463,experiment_1065,135.284246683,135.384246683,13
464,experiment_1065,136.580262184,136.680262184,10
465,experiment_1065,137.873871088,137.973871088,7
466,experiment_1065,139.175927877,139.275927877,20
467,experiment_1065,140.485542059,140.585542059,6
468,experiment_1065,141.781086445,141.881086445,15
469,experiment_1065,143.076784372,143.176784372,12
470,experiment_1065,144.372533321,144.472533321,11
471,experiment_1065,145.668968678,145.768968678,20
472,experiment_1065,146.960724115,147.060724115,19
473,experiment_1065,148.247144699,148.347144699,6
474,experiment_1065,149.543784618,149.643784618,18
475,experiment_1065,150.836011171,150.936011171,7
476,experiment_1065,152.130521297,152.230521297,3
477,experiment_1065,153.424099445,153.524099445,16
478,experiment_1065,154.71756506,154.81756506,5
479,experiment_1065,156.009197712,156.109197712,14
